Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
00680K,KR700680K019,미래에셋증권2우B,KOSPI,,14940,2,-290,-1.9,15230,15590,14460,612755,9112265225,2039310000000,136500000,STK
089030,KR7089030001,테크윙,KOSDAQ,중견기업부,54700,1,1000,1.86,51300,57400,50100,1949763,106349399100,2026834381500,37053645,KSQ
103140,KR7103140000,풍산,KOSPI,,72300,2,-1700,-2.3,72300,74000,70800,102318,7356367800,2026155299400,28024278,STK
007070,KR7007070006,GS리테일,KOSPI,,24000,1,600,2.56,23600,24700,23000,197440,4674522500,2006577960000,83607415,STK
140860,KR7140860008,파크시스템스,KOSDAQ GLOBAL,우량기업부,284000,2,-11500,-3.89,292500,292500,278000,37043,10501829500,1988701196000,7002469,KSQ
120110,KR7120110002,코오롱인더,KOSPI,,65900,2,-1200,-1.79,66100,67100,63400,188057,12234086650,1973443508800,29946032,STK
161890,KR7161890009,한국콜마,KOSPI,,83500,2,-600,-0.71,84600,86500,81600,165121,13787595450,1971023929500,23605077,STK
005440,KR7005440003,현대지에프홀딩스,KOSPI,,12640,2,-380,-2.92,12710,12940,12380,193175,2429761890,1970630364640,155904301,STK
097230,KR7097230007,HJ중공업,KOSPI,,21750,2,-450,-2.03,21800,22400,21250,619637,13522304050,1963923732000,90295344,STK
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,43750,2,-2050,-4.48,46000,46150,43650,111036,4921790600,1942602025000,44402332,KSQ
078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,122100,2,-8000,-6.15,126200,126300,118500,161788,19776732250,1908205295700,15628217,KSQ
140410,KR7140410002,메지온,KOSDAQ,투자주의환기종목(소속부없음),62200,2,-2600,-4.01,65100,67300,61700,94887,6029936450,1890392787400,30392167,KSQ
035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,53200,2,-2200,-3.97,55100,55300,53000,151245,8123669950,1890328574400,35532492,KSQ
192820,KR7192820009,코스맥스,KOSPI,,165900,2,-4400,-2.58,171500,173200,164600,58948,9838912450,1882883543100,11349509,STK
000120,KR7000120006,CJ대한통운,KOSPI,,81900,2,-700,-0.85,83400,83400,80600,73850,6015416750,1868330973600,22812344,STK
030530,KR7030530000,원익홀딩스,KOSDAQ,중견기업부,24000,2,-2500,-9.43,25800,25800,23650,737699,17890139675,1853711544000,77237981,KSQ
112610,KR7112610001,씨에스윈드,KOSPI,,43850,2,-1200,-2.66,45550,45600,42900,347722,15244465175,1849216021550,42171403,STK
229640,KR7229640008,LS에코에너지,KOSPI,,60200,2,-3100,-4.9,61400,61700,58600,116788,7026550450,1843617715800,30624879,STK
420770,KR7420770000,기가비스,KOSDAQ,우량기업부,144000,1,4600,3.3,136100,151000,130800,234406,33659487700,1825309152000,12675758,KSQ
322000,KR7322000001,HD현대에너지솔루션,KOSPI,,160500,2,-17000,-9.58,175000,177000,158900,170315,27744009100,1797600000000,11200000,STK
462870,KR7462870007,시프트업,KOSPI,,30550,1,100,0.33,30200,30900,29650,81598,2480659100,1791890087000,58654340,STK
001430,KR7001430008,세아베스틸지주,KOSPI,,48950,2,-1950,-3.83,50500,50600,48000,241528,11811112475,1755450725050,35862119,STK
009155,KR7009151002,삼성전기우,KOSPI,,597000,1,19000,3.29,537000,628000,536000,121010,71300571500,1735469448000,2906984,STK
0009K0,KR70009K0001,에임드바이오,KOSDAQ,기술성장기업부,26500,2,-1200,-4.33,28650,28650,25800,412851,11058147000,1713785766500,64671161,KSQ
041510,KR7041510009,에스엠,KOSDAQ GLOBAL,우량기업부,74400,2,-4300,-5.46,77500,77900,74200,87601,6598521550,1703364936000,22894690,KSQ
023590,KR7023590003,다우기술,KOSPI,,39100,2,-400,-1.01,40000,40850,38200,46517,1811609400,1692533899200,43287312,STK
089970,KR7089970008,브이엠,KOSDAQ,우량기업부,68000,2,-1500,-2.16,67000,74300,64900,860519,60226736450,1684495660000,24771995,KSQ
002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,22000,2,-300,-1.35,22700,22700,21650,116276,2558631975,1682079960000,76458180,STK
017960,KR7017960006,한국카본,KOSPI,,32250,2,-150,-0.46,33500,33550,31650,495464,16089770975,1666566673500,51676486,STK
066575,KR7066571001,LG전자우,KOSPI,,96900,2,-5200,-5.09,99900,104400,93500,491680,47708538500,1664867873100,17181299,STK
323280,KR7323280008,태성,KOSDAQ,중견기업부,54300,2,-2700,-4.74,57100,58500,53700,388111,21541052150,1658212314000,30537980,KSQ
001800,KR7001800002,오리온홀딩스,KOSPI,,25950,2,-650,-2.44,27450,27450,25000,120321,3085067150,1625648700900,62645422,STK
181710,KR7181710005,NHN,KOSPI,,49050,1,2150,4.58,45050,51000,43350,388359,18679048825,1606541467950,32753139,STK
039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,41750,1,150,0.36,42900,44550,40750,450986,19182992300,1597278848000,38258176,KSQ
031330,KR7031330004,에스에이엠티,KOSDAQ,우량기업부,15940,2,-2920,-15.48,17700,17700,15940,2031770,34136910320,1593921367980,99995067,KSQ
060370,KR7060370004,LS마린솔루션,KOSDAQ,우량기업부,30400,2,-1400,-4.4,31000,31450,29700,149690,4549380050,1588061161600,52238854,KSQ
347700,KR7347700007,스피어,KOSDAQ,기술성장기업부,30700,2,-3250,-9.57,33000,33000,29800,839197,25684842700,1559999163500,50814305,KSQ
096530,KR7096530001,씨젠,KOSDAQ,우량기업부,29850,2,-1200,-3.86,31100,31150,29550,286837,8612151300,1558945920900,52225994,KSQ
001120,KR7001120005,LX인터내셔널,KOSPI,,39550,1,450,1.15,39450,40300,38200,152267,6024308425,1532958000000,38760000,STK
445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,88900,2,-9400,-9.56,98500,98500,88700,106549,9806846650,1529369369500,17203255,KSQ
005070,KR7005070008,코스모신소재,KOSPI,,46000,2,-3650,-7.35,48600,48800,45900,170703,7975506175,1527870266000,33214571,STK
006040,KR7006040000,동원산업,KOSPI,,34250,1,250,0.74,33650,34500,33600,86541,2947979500,1511823050750,44140819,STK
192080,KR7192080000,더블유게임즈,KOSPI,,71100,1,800,1.14,70700,71900,68600,142046,10048236050,1505433574800,21173468,STK
395400,KR7395400005,SK리츠,KOSPI,,4995,1,5,0.1,4990,5070,4950,231677,1162165830,1503583011900,301017620,STK
006280,KR7006280002,녹십자,KOSPI,,126900,2,-3800,-2.91,133600,134000,125200,39415,5067284650,1483021672200,11686538,STK
003540,KR7003540002,대신증권,KOSPI,,30000,2,-400,-1.32,30950,31250,29450,122445,3681935575,1476592890000,49219763,STK
437730,KR7437730005,삼현,KOSDAQ,기술성장기업부,46500,2,-1400,-2.92,46000,49500,45000,151052,6972420850,1474401865500,31707567,KSQ
298020,KR7298020009,효성티앤씨,KOSPI,,340500,2,-12000,-3.4,357500,357500,332000,31630,10737240750,1473575721000,4327682,STK
476830,KR7476830005,알지노믹스,KOSDAQ,기술성장기업부,105100,2,-4900,-4.45,112500,113900,104400,179988,19421534950,1464446794200,13933842,KSQ
032350,KR7032350001,롯데관광개발,KOSPI,,18330,1,110,0.6,18340,18790,17900,440180,8076442785,1459095018420,79601474,STK
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,17800,2,-930,-4.97,18550,18660,17740,182186,3276412260,1455810380000,81787100,STK
090360,KR7090360009,로보스타,KOSDAQ,중견기업부,148100,1,8900,6.39,129900,171600,121100,4206111,627230371650,1443975000000,9750000,KSQ
034230,KR7034230003,파라다이스,KOSPI,,15500,1,810,5.51,15240,15950,14680,1884916,28872443890,1435755421000,92629382,STK
003570,KR7003570009,SNT다이내믹스,KOSPI,,42800,1,600,1.42,41750,44400,40350,52187,2240521950,1423215431600,33252697,STK
020560,KR7020560009,아시아나항공,KOSPI,,6840,2,-30,-0.44,6950,6960,6810,87241,598553040,1408976463240,205990711,STK
069620,KR7069620003,대웅제약,KOSPI,,121100,2,-5400,-4.27,127200,129100,120000,29709,3628798300,1403134232500,11586575,STK
032500,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,32800,2,-5400,-14.14,36300,36700,32450,663830,22347915650,1383887792800,42191701,KSQ
